"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RAMAC2",4.32525219668541e-49,0.627415805153416,0.197,0.673,7.82221859770556e-45,"8","RAMAC"
"SHISA51",4.33155192641716e-49,0.292615312010294,0.273,0.818,7.83361165892543e-45,"8","SHISA5"
"DYNLT31",5.07935432224693e-49,0.258529243150041,0.239,0.758,9.18601229178357e-45,"8","DYNLT3"
"TTPAL",5.11986937455283e-49,0.723930187481455,0.136,0.548,9.25928376387879e-45,"8","TTPAL"
"MIF4",5.50539406217916e-49,0.632566563155081,0.862,0.962,9.956505161451e-45,"8","MIF"
"RTEL11",5.55921152072323e-49,0.295592737077425,0.072,0.419,1.0053834035228e-44,"8","RTEL1"
"ADORA2B3",5.6443730957959e-49,0.440247393962772,0.138,0.552,1.02078487437469e-44,"8","ADORA2B"
"PIF12",6.27385780120766e-49,0.631029830076417,0.14,0.553,1.13462718334841e-44,"8","PIF1"
"ZNF481",6.53077480872605e-49,0.438171885253919,0.072,0.42,1.18109062415811e-44,"8","ZNF48"
"MARS22",7.36328568795542e-49,0.501491754684701,0.076,0.427,1.33165021666674e-44,"8","MARS2"
"CTNS",7.55517422245196e-49,0.614241437207974,0.12,0.513,1.36635325813044e-44,"8","CTNS"
"DYRK31",8.96566222868541e-49,0.279276122454302,0.067,0.409,1.62144001405776e-44,"8","DYRK3"
"AHCTF1",9.08436445648799e-49,0.817241614259711,0.136,0.548,1.64290731195585e-44,"8","AHCTF1"
"FSD1L1",1.03988925036399e-48,0.59817081257727,0.222,0.725,1.88063970928328e-44,"8","FSD1L"
"ARID5A1",1.21803664015467e-48,0.259929016449233,0.16,0.586,2.20281926371973e-44,"8","ARID5A"
"XYLT21",1.23418270460194e-48,0.436961231320975,0.093,0.458,2.23201942127261e-44,"8","XYLT2"
"TMEM120A",1.24939639267287e-48,0.26454663173729,0.219,0.713,2.25953337614889e-44,"8","TMEM120A"
"ZNHIT2",1.35312295575823e-48,0.597012855984623,0.16,0.594,2.44712286548876e-44,"8","ZNHIT2"
"NEK112",1.50233612263973e-48,0.317547331999656,0.089,0.452,2.71697487779394e-44,"8","NEK11"
"SUPT3H1",1.52815537751803e-48,0.389626421994184,0.202,0.677,2.76366900024135e-44,"8","SUPT3H"
"ZNF5972",1.62894101945834e-48,0.280296269027083,0.069,0.412,2.94593983369041e-44,"8","ZNF597"
"WWP2",1.70705083941694e-48,0.359522770579681,0.246,0.771,3.08720144308554e-44,"8","WWP2"
"CCNYL1",1.86730235319013e-48,0.501419992296357,0.264,0.805,3.37701630574434e-44,"8","CCNYL1"
"KCNH83",1.8896621727583e-48,0.616428333674377,0.081,0.435,3.41745403943339e-44,"8","KCNH8"
"ARHGAP392",1.91698524579376e-48,0.547198835927856,0.135,0.543,3.46686781701802e-44,"8","ARHGAP39"
"ZNF550",1.92538828784666e-48,0.975344108060839,0.13,0.53,3.48206471857068e-44,"8","ZNF550"
"WFS11",1.93485433177523e-48,0.665142883944838,0.106,0.483,3.4991840590155e-44,"8","WFS1"
